Crop_Type,Region,Soil_Type,Farming_Method,Fertilizer_Used,Area_Planted_Hectares,Yield_Tons_Per_Hectare,Total_Harvest_Tons,Rainfall_mm,Labor_Hours,Planting_Date,Harvest_Date
Rice,North,Sandy,Mixed,Potassium-based,254.98,9.54,2432.51,982.7,3667,2025-04-21,2025-09-16
Wheat,South,Peat,Conventional,Nitrogen-based,367.82,11.26,4141.65,1137.5,4448,2025-06-13,2025-09-11
Barley,West,Sandy,Conservation,Potassium-based,313.39,3.65,1143.87,891.9,4490,2025-06-07,2025-11-11
Wheat,West,Clay,Conservation,None,101.45,9.88,1002.33,355.9,1281,2025-03-28,2025-08-08
Soybeans,Midwest,Sandy,Organic,Potassium-based,22.59,9.25,208.96,443.4,4744,2025-05-09,2025-09-22
Wheat,Midwest,Clay,Conservation,None,149.43,2.17,324.26,1042.2,3238,2025-05-09,2025-09-10
Wheat,West,Sandy,Organic,None,227.09,5.57,1264.89,409.3,4494,2025-04-24,2025-10-17
Wheat,West,Peat,Conventional,Potassium-based,312.38,4.47,1396.34,272.5,3634,2025-04-26,2025-09-22
Rice,West,Peat,Mixed,Phosphorus-based,426.48,4.7,2004.46,903.3,4296,2025-06-16,2025-12-12
Wheat,South,Peat,Mixed,Compost,106.16,11.82,1254.81,602.5,3227,2025-05-26,2025-10-14
Barley,West,Silt,Mixed,Nitrogen-based,71.52,8.25,590.04,1120.0,1874,2025-06-05,2025-09-10
Soybeans,East,Loam,Conservation,Compost,482.11,9.04,4358.27,850.3,3914,2025-03-16,2025-09-01
Soybeans,North,Peat,Organic,Nitrogen-based,62.94,11.75,739.54,290.4,191,2025-03-24,2025-08-01
Wheat,West,Clay,Organic,Nitrogen-based,244.46,5.46,1334.75,1147.9,546,2025-05-08,2025-08-08
Rice,North,Peat,Conventional,None,296.93,9.92,2945.55,458.6,208,2025-04-10,2025-09-15
Rice,South,Silt,Conservation,Nitrogen-based,275.27,6.06,1668.14,537.2,4512,2025-06-14,2025-12-04
Barley,North,Clay,Conventional,Nitrogen-based,52.16,10.63,554.46,602.3,3339,2025-05-16,2025-08-27
Wheat,South,Silt,Organic,Potassium-based,37.94,3.4,129.0,251.2,4153,2025-04-16,2025-08-09
Soybeans,East,Clay,Organic,Compost,61.69,11.45,706.35,696.5,4637,2025-05-15,2025-10-21
Rice,South,Sandy,Mixed,Potassium-based,296.94,3.8,1128.37,323.3,1345,2025-05-08,2025-10-02
Wheat,South,Loam,Conservation,Nitrogen-based,276.73,4.93,1364.28,601.0,2820,2025-06-09,2025-10-16
Rice,Midwest,Loam,Organic,None,124.53,9.44,1175.56,550.7,377,2025-03-31,2025-08-18
Rice,West,Silt,Mixed,Potassium-based,322.51,5.63,1815.73,972.8,3156,2025-05-31,2025-09-02
Soybeans,West,Loam,Conservation,Potassium-based,411.83,7.89,3249.34,1003.2,4764,2025-05-31,2025-11-13
Corn,East,Silt,Conventional,Phosphorus-based,30.37,6.17,187.38,353.4,3022,2025-03-30,2025-07-29
Barley,East,Silt,Conservation,Nitrogen-based,254.08,9.29,2360.4,566.6,2613,2025-03-18,2025-09-03
Barley,West,Silt,Conservation,None,347.76,3.9,1356.26,573.4,938,2025-04-13,2025-07-12
Soybeans,Midwest,Loam,Organic,Potassium-based,133.63,2.11,281.96,351.4,2901,2025-03-27,2025-09-09
Rice,West,Silt,Organic,Potassium-based,160.81,4.65,747.77,998.5,129,2025-06-07,2025-10-28
Wheat,Midwest,Loam,Conservation,None,310.68,6.48,2013.21,907.2,1357,2025-03-26,2025-07-04
Rice,East,Silt,Organic,Nitrogen-based,449.99,3.26,1466.97,390.4,464,2025-06-29,2025-11-18
Soybeans,North,Peat,Organic,Phosphorus-based,406.86,5.23,2127.88,566.7,1900,2025-06-11,2025-09-16
Barley,East,Silt,Organic,Potassium-based,295.73,5.7,1685.66,305.8,1004,2025-06-21,2025-10-13
Rice,East,Clay,Mixed,Phosphorus-based,367.81,2.1,772.4,828.2,4893,2025-06-23,2025-10-30
Barley,South,Silt,Mixed,Compost,188.76,7.62,1438.35,321.4,2278,2025-04-29,2025-08-28
Wheat,South,Sandy,Conservation,Nitrogen-based,324.07,10.79,3496.72,1185.9,2950,2025-03-18,2025-09-11
Barley,South,Silt,Organic,Compost,238.43,3.09,736.75,980.7,2936,2025-06-05,2025-09-30
Barley,South,Clay,Mixed,Compost,103.07,7.78,801.88,590.2,4546,2025-05-28,2025-11-11
Corn,Midwest,Clay,Conservation,Compost,353.85,8.48,3000.65,778.6,279,2025-04-25,2025-07-26
Corn,West,Loam,Organic,Nitrogen-based,282.67,5.9,1667.75,1111.3,3973,2025-03-31,2025-09-20
Corn,North,Peat,Conventional,Nitrogen-based,185.72,8.86,1645.48,754.1,4060,2025-06-09,2025-11-24
Barley,East,Silt,Organic,None,456.56,5.81,2652.61,374.5,1286,2025-04-28,2025-09-26
Soybeans,Midwest,Loam,Organic,Phosphorus-based,20.26,6.8,137.77,578.7,4059,2025-03-02,2025-06-26
Barley,North,Peat,Mixed,Phosphorus-based,164.73,1.58,260.27,1043.1,873,2025-06-05,2025-10-17
Soybeans,Midwest,Silt,Conservation,None,37.87,8.76,331.74,844.2,4705,2025-04-08,2025-07-31
Soybeans,Midwest,Sandy,Conservation,None,385.6,8.44,3254.46,850.7,4560,2025-04-30,2025-09-27
Corn,East,Silt,Mixed,Compost,354.03,1.9,672.66,1066.8,452,2025-06-15,2025-10-26
Rice,West,Clay,Organic,None,172.36,5.37,925.57,1094.0,4607,2025-06-15,2025-10-28
Wheat,South,Clay,Conventional,Potassium-based,341.07,11.78,4017.8,1119.8,4930,2025-05-02,2025-08-13
Corn,West,Sandy,Organic,Phosphorus-based,204.01,5.92,1207.74,294.8,3128,2025-06-04,2025-09-09
Corn,East,Loam,Organic,None,380.56,6.77,2576.39,744.1,217,2025-03-18,2025-08-02
Rice,East,Peat,Conventional,Potassium-based,232.55,11.05,2569.68,940.5,581,2025-03-17,2025-06-28
Wheat,East,Silt,Mixed,Potassium-based,212.02,9.03,1914.54,956.9,4387,2025-06-06,2025-11-07
Barley,North,Clay,Conservation,Potassium-based,468.02,7.61,3561.63,806.7,2737,2025-04-08,2025-09-24
Barley,West,Loam,Mixed,Potassium-based,132.93,9.88,1313.35,366.8,206,2025-05-10,2025-10-28
Corn,West,Sandy,Mixed,Compost,69.02,10.58,730.23,997.4,4577,2025-06-14,2025-09-18
Wheat,Midwest,Clay,Organic,Potassium-based,296.43,6.3,1867.51,920.1,4978,2025-04-23,2025-10-08
Corn,Midwest,Sandy,Conservation,Compost,484.97,6.49,3147.46,286.1,343,2025-06-25,2025-12-19
Soybeans,Midwest,Silt,Conservation,Compost,195.14,5.55,1083.03,663.8,2732,2025-06-07,2025-10-23
Corn,East,Peat,Mixed,Potassium-based,40.4,11.65,470.66,374.0,4663,2025-06-02,2025-10-24
Corn,West,Clay,Conventional,Phosphorus-based,176.26,8.82,1554.61,537.5,965,2025-05-15,2025-08-25
Barley,East,Clay,Mixed,Potassium-based,257.91,2.37,611.25,218.1,3081,2025-04-04,2025-09-13
Barley,North,Silt,Conventional,Potassium-based,89.34,10.56,943.43,600.3,1661,2025-03-11,2025-08-03
Barley,Midwest,Loam,Conservation,Potassium-based,332.47,6.55,2177.68,749.9,703,2025-04-30,2025-09-22
Soybeans,East,Peat,Mixed,Phosphorus-based,498.9,2.22,1107.56,819.6,3162,2025-04-13,2025-07-26
Barley,East,Clay,Organic,Nitrogen-based,231.35,7.27,1681.91,863.5,4118,2025-06-29,2025-11-22
Wheat,North,Peat,Mixed,Nitrogen-based,183.82,5.88,1080.86,1036.3,2115,2025-05-07,2025-10-01
Rice,South,Clay,Conservation,Compost,206.35,10.72,2212.07,415.5,1758,2025-03-25,2025-07-27
Wheat,West,Peat,Organic,Compost,66.42,3.64,241.77,320.5,3480,2025-04-17,2025-10-11
Wheat,South,Sandy,Organic,Phosphorus-based,442.8,10.18,4507.7,1051.5,3867,2025-04-01,2025-07-15
Barley,Midwest,Clay,Conventional,None,213.26,7.36,1569.59,356.6,3870,2025-05-23,2025-08-28
Rice,East,Peat,Organic,Nitrogen-based,199.76,2.07,413.5,1174.8,1713,2025-06-22,2025-12-15
Rice,North,Loam,Organic,Compost,333.25,11.7,3899.02,1042.5,1979,2025-06-03,2025-10-15
Rice,North,Sandy,Mixed,Nitrogen-based,226.6,6.88,1559.01,700.9,4208,2025-03-04,2025-07-11
Soybeans,West,Sandy,Conservation,Phosphorus-based,327.63,4.55,1490.72,1181.4,2446,2025-06-26,2025-11-16
Barley,South,Loam,Conventional,Phosphorus-based,40.11,6.43,257.91,297.4,1199,2025-04-07,2025-07-19
Rice,West,Peat,Mixed,None,408.72,10.51,4295.65,503.1,1174,2025-06-25,2025-11-20
Soybeans,East,Silt,Organic,None,470.85,4.7,2213.0,838.2,886,2025-05-02,2025-09-21
Corn,West,Loam,Organic,Phosphorus-based,327.9,3.52,1154.21,550.0,248,2025-04-16,2025-08-10
Corn,North,Peat,Conventional,Compost,477.74,2.86,1366.34,1128.4,1854,2025-03-01,2025-07-15
Soybeans,North,Loam,Conservation,Nitrogen-based,84.2,4.63,389.85,265.6,2269,2025-03-03,2025-08-19
Soybeans,Midwest,Loam,Conventional,Potassium-based,243.93,9.69,2363.68,749.4,3856,2025-06-09,2025-09-12
Barley,Midwest,Clay,Mixed,None,304.89,6.45,1966.54,790.9,1279,2025-05-25,2025-10-16
Barley,East,Peat,Conventional,Potassium-based,295.05,3.89,1147.74,852.7,3409,2025-05-01,2025-09-11
Corn,South,Silt,Organic,Compost,206.72,3.24,669.77,455.7,2523,2025-05-03,2025-08-18
Rice,West,Clay,Mixed,None,175.66,4.99,876.54,564.6,4277,2025-03-17,2025-06-30
Corn,East,Loam,Organic,Potassium-based,72.14,11.37,820.23,1043.7,4687,2025-05-17,2025-08-26
Rice,Midwest,Loam,Conservation,Compost,201.95,5.1,1029.94,394.9,1024,2025-06-13,2025-09-30
Rice,West,Loam,Organic,Nitrogen-based,89.7,11.88,1065.64,1026.9,1703,2025-05-01,2025-09-12
Barley,Midwest,Peat,Organic,Compost,369.84,6.59,2437.25,762.7,3152,2025-04-04,2025-09-04
Wheat,West,Peat,Conventional,None,112.33,3.38,379.68,962.2,4318,2025-03-13,2025-08-08
Wheat,South,Clay,Organic,Phosphorus-based,38.7,10.86,420.28,913.6,4903,2025-04-04,2025-09-30
Soybeans,East,Silt,Mixed,Nitrogen-based,280.66,6.33,1776.58,407.5,2477,2025-04-12,2025-08-01
Barley,West,Clay,Mixed,Potassium-based,301.66,8.95,2699.86,768.8,3580,2025-03-02,2025-07-16
Rice,North,Sandy,Conservation,None,437.24,11.83,5172.55,1067.7,3282,2025-04-25,2025-08-21
Wheat,North,Loam,Mixed,Phosphorus-based,292.72,2.03,594.22,632.1,2917,2025-06-19,2025-12-11
Rice,West,Loam,Conventional,Compost,179.29,2.52,451.81,1166.6,3260,2025-05-16,2025-09-27
Wheat,West,Loam,Conservation,Phosphorus-based,403.48,9.06,3655.53,652.2,4905,2025-04-20,2025-10-03
Wheat,West,Clay,Mixed,None,274.74,4.46,1225.34,342.8,4989,2025-04-23,2025-07-30
Wheat,North,Clay,Conventional,None,48.85,3.44,168.04,589.4,811,2025-03-16,2025-07-07
Barley,North,Loam,Mixed,Phosphorus-based,287.27,1.91,548.69,1151.7,2686,2025-03-18,2025-06-30
Corn,West,Clay,Mixed,Compost,454.93,1.73,787.03,519.7,2748,2025-03-07,2025-07-10
Rice,Midwest,Peat,Organic,Phosphorus-based,204.19,9.63,1966.35,1068.1,1817,2025-04-14,2025-07-25
Barley,Midwest,Peat,Mixed,None,155.2,2.91,451.63,1081.3,4452,2025-04-05,2025-08-16
Barley,South,Clay,Mixed,None,80.3,6.41,514.72,550.2,970,2025-04-10,2025-09-17
Barley,East,Loam,Conventional,Potassium-based,84.21,7.86,661.89,283.3,3674,2025-06-02,2025-11-10
Barley,Midwest,Clay,Conventional,Potassium-based,222.06,6.0,1332.36,924.6,370,2025-04-11,2025-09-25
Barley,North,Clay,Organic,Nitrogen-based,301.88,1.78,537.35,511.5,1643,2025-06-13,2025-11-25
Soybeans,Midwest,Clay,Mixed,None,49.5,9.73,481.64,982.9,649,2025-03-07,2025-07-10
Rice,South,Sandy,Organic,Potassium-based,470.39,1.61,757.33,642.7,4763,2025-03-15,2025-08-12
Barley,South,Peat,Mixed,Phosphorus-based,380.02,9.5,3610.19,685.3,4114,2025-04-29,2025-10-16
Rice,East,Silt,Conservation,Compost,297.45,10.88,3236.26,977.9,4554,2025-04-09,2025-08-16
Soybeans,Midwest,Silt,Conservation,Phosphorus-based,415.93,6.04,2512.22,582.4,1812,2025-05-22,2025-09-15
Soybeans,North,Sandy,Organic,Compost,49.29,7.12,350.94,643.1,3340,2025-06-15,2025-09-13
Rice,North,Clay,Organic,Potassium-based,243.65,6.51,1586.16,576.2,1462,2025-04-06,2025-08-07
Wheat,West,Sandy,Organic,Nitrogen-based,318.75,5.59,1781.81,567.3,4993,2025-05-05,2025-10-09
Corn,North,Sandy,Conventional,Phosphorus-based,416.04,10.82,4501.55,725.9,1384,2025-06-14,2025-12-08
Wheat,East,Loam,Conventional,Phosphorus-based,393.9,10.89,4289.57,1008.8,986,2025-06-20,2025-10-08
Wheat,East,Peat,Conventional,Phosphorus-based,145.76,5.03,733.17,561.8,2358,2025-04-24,2025-08-24
Wheat,North,Silt,Organic,Compost,471.03,7.96,3749.4,724.3,4482,2025-05-16,2025-08-20
Barley,North,Clay,Mixed,Potassium-based,70.93,11.23,796.54,870.7,1885,2025-06-12,2025-11-13
Soybeans,West,Silt,Conservation,Phosphorus-based,438.82,11.6,5090.31,469.4,4938,2025-06-13,2025-09-13
Wheat,North,Silt,Organic,Phosphorus-based,485.76,6.84,3322.6,477.5,3643,2025-06-15,2025-11-02
Soybeans,West,Peat,Conventional,Nitrogen-based,96.81,6.25,605.06,1133.4,395,2025-06-15,2025-11-30
Rice,West,Silt,Conventional,Nitrogen-based,363.81,4.43,1611.68,923.5,2153,2025-06-27,2025-11-17
Corn,North,Silt,Organic,Potassium-based,29.74,11.57,344.09,777.2,2697,2025-06-03,2025-11-19
Rice,South,Sandy,Organic,Potassium-based,208.66,3.0,625.98,847.7,780,2025-05-19,2025-10-29
Rice,South,Peat,Conventional,None,262.98,7.59,1996.02,229.3,4990,2025-06-14,2025-11-09
Barley,West,Loam,Mixed,Nitrogen-based,294.52,4.47,1316.5,818.1,4398,2025-04-25,2025-07-29
Corn,North,Clay,Conventional,None,468.61,4.43,2075.94,709.5,424,2025-04-13,2025-08-09
Rice,South,Silt,Conventional,Compost,339.4,5.75,1951.55,745.7,2391,2025-04-26,2025-08-10
Rice,North,Clay,Organic,None,245.83,11.99,2947.5,559.4,4522,2025-03-06,2025-08-02
Corn,North,Loam,Mixed,Phosphorus-based,406.74,2.08,846.02,281.5,1086,2025-05-31,2025-09-19
Corn,North,Clay,Conventional,None,475.76,7.57,3601.5,393.3,3218,2025-04-01,2025-07-23
Rice,Midwest,Loam,Conventional,Potassium-based,20.81,2.37,49.32,1150.7,860,2025-06-16,2025-12-03
Corn,North,Sandy,Conservation,Compost,491.44,3.12,1533.29,608.7,3793,2025-05-13,2025-11-03
Rice,Midwest,Silt,Organic,Phosphorus-based,52.2,6.12,319.46,666.7,1136,2025-06-22,2025-11-09
Rice,West,Loam,Conservation,None,409.05,6.86,2806.08,252.7,1006,2025-03-18,2025-08-04
Barley,South,Clay,Conservation,Compost,147.36,4.22,621.86,237.6,464,2025-05-07,2025-08-15
Wheat,South,Silt,Conventional,Compost,74.77,4.82,360.39,917.2,3513,2025-05-12,2025-10-04
Rice,South,Sandy,Organic,Phosphorus-based,225.53,2.41,543.53,738.1,1169,2025-03-07,2025-08-14
Soybeans,South,Silt,Mixed,None,325.54,4.68,1523.53,708.7,4469,2025-06-22,2025-10-31
Wheat,South,Loam,Conventional,Compost,196.67,11.65,2291.21,443.1,2355,2025-03-08,2025-07-14
Wheat,South,Sandy,Mixed,Compost,36.74,11.42,419.57,944.8,3786,2025-05-03,2025-10-08
Wheat,South,Clay,Mixed,Nitrogen-based,303.74,5.02,1524.77,368.2,4319,2025-06-15,2025-10-30
Barley,West,Sandy,Organic,Compost,452.18,7.49,3386.83,389.9,3181,2025-03-07,2025-07-31
Rice,North,Sandy,Conservation,Nitrogen-based,197.78,11.05,2185.47,660.7,3358,2025-04-10,2025-07-29
Barley,East,Peat,Organic,None,116.0,1.56,180.96,486.3,2207,2025-04-09,2025-09-27
Rice,Midwest,Sandy,Mixed,None,226.86,10.01,2270.87,447.5,3033,2025-03-03,2025-06-20
Barley,East,Sandy,Conventional,None,33.7,11.46,386.2,845.2,2929,2025-03-17,2025-06-29
Barley,East,Silt,Mixed,Potassium-based,412.04,2.46,1013.62,851.0,541,2025-05-05,2025-10-10
Soybeans,North,Clay,Conventional,None,414.91,3.2,1327.71,1024.5,1659,2025-05-18,2025-10-31
Barley,North,Silt,Conventional,Compost,298.12,11.59,3455.21,617.7,1841,2025-06-18,2025-11-05
Corn,North,Silt,Organic,Phosphorus-based,183.02,7.14,1306.76,273.1,725,2025-06-01,2025-11-13
Soybeans,South,Loam,Mixed,Nitrogen-based,401.89,1.65,663.12,473.7,3963,2025-06-22,2025-11-20
Barley,West,Silt,Conservation,Potassium-based,281.8,4.21,1186.38,1180.0,1790,2025-06-20,2025-12-11
Wheat,South,Peat,Mixed,None,414.71,6.22,2579.5,796.3,2881,2025-04-21,2025-08-25
Corn,West,Peat,Mixed,None,319.41,8.78,2804.42,909.7,190,2025-03-22,2025-06-25
Corn,West,Loam,Conservation,Phosphorus-based,394.36,9.2,3628.11,207.4,3106,2025-03-04,2025-08-11
Corn,East,Clay,Organic,Phosphorus-based,303.3,11.95,3624.44,718.2,4402,2025-06-29,2025-10-22
Soybeans,East,Clay,Mixed,Potassium-based,212.93,4.52,962.44,237.5,1188,2025-06-24,2025-09-29
Barley,West,Silt,Mixed,Nitrogen-based,479.39,7.15,3427.64,769.2,4711,2025-03-06,2025-08-15
Barley,West,Silt,Conventional,None,275.15,7.1,1953.56,1120.8,1280,2025-04-07,2025-07-09
Wheat,South,Silt,Mixed,Potassium-based,306.49,5.76,1765.38,1168.4,2001,2025-03-26,2025-07-14
Wheat,South,Clay,Conservation,Compost,118.04,3.28,387.17,740.6,4590,2025-03-11,2025-07-09
Corn,East,Sandy,Conventional,Compost,316.57,11.76,3722.86,658.2,286,2025-05-29,2025-09-16
Wheat,North,Peat,Organic,Potassium-based,290.09,10.46,3034.34,1145.0,1697,2025-03-17,2025-07-09
Soybeans,West,Sandy,Conventional,None,100.57,6.73,676.84,873.6,3508,2025-05-27,2025-09-08
Barley,South,Sandy,Conservation,Potassium-based,39.2,7.83,306.94,264.9,3847,2025-05-31,2025-10-02
Corn,East,Clay,Conservation,None,306.14,3.89,1190.88,665.7,2770,2025-06-07,2025-10-23
Wheat,South,Sandy,Conventional,Phosphorus-based,384.21,7.21,2770.15,440.2,4925,2025-03-31,2025-08-10
Soybeans,West,Loam,Organic,Potassium-based,266.47,8.8,2344.94,669.8,339,2025-05-16,2025-09-23
Soybeans,West,Silt,Conventional,None,121.12,6.91,836.94,655.5,2680,2025-06-26,2025-10-30
Wheat,Midwest,Loam,Organic,Potassium-based,336.6,11.9,4005.54,782.1,4336,2025-04-04,2025-08-28
Barley,North,Peat,Conventional,Potassium-based,49.25,7.92,390.06,556.8,238,2025-03-16,2025-07-25
Wheat,Midwest,Silt,Conservation,None,226.5,5.4,1223.1,364.3,2606,2025-05-18,2025-10-01
Corn,East,Sandy,Mixed,None,90.05,9.61,865.38,703.7,4265,2025-06-15,2025-11-12
Wheat,South,Peat,Mixed,Nitrogen-based,100.38,3.29,330.25,1030.2,4580,2025-03-18,2025-06-29
Soybeans,East,Silt,Organic,Potassium-based,109.12,5.54,604.52,864.0,4825,2025-06-19,2025-11-23
Wheat,West,Sandy,Organic,Compost,199.49,5.14,1025.38,538.4,2345,2025-06-09,2025-10-29
Barley,Midwest,Loam,Organic,Potassium-based,35.06,6.03,211.41,1135.5,4400,2025-06-20,2025-12-10
Rice,Midwest,Silt,Conservation,Potassium-based,204.92,9.71,1989.77,1112.2,1849,2025-05-01,2025-09-01
Wheat,Midwest,Sandy,Conventional,None,260.74,6.58,1715.67,409.3,667,2025-06-20,2025-12-02
Barley,East,Loam,Conservation,Potassium-based,246.81,9.84,2428.61,239.4,981,2025-06-21,2025-10-12
Barley,West,Peat,Mixed,Potassium-based,197.56,7.55,1491.58,941.3,739,2025-06-13,2025-09-30
Soybeans,South,Peat,Organic,Compost,421.18,5.09,2143.81,1027.6,4061,2025-03-27,2025-09-01
Barley,South,Peat,Conventional,None,81.21,10.0,812.1,1167.9,4520,2025-06-27,2025-10-24
Barley,East,Peat,Mixed,Potassium-based,257.79,4.0,1031.16,1089.8,4637,2025-04-04,2025-09-28
Barley,Midwest,Clay,Mixed,Phosphorus-based,40.4,3.86,155.94,800.5,4999,2025-06-24,2025-09-28
Barley,North,Silt,Mixed,Nitrogen-based,44.87,6.8,305.12,730.1,2435,2025-04-14,2025-08-17
Corn,East,Silt,Conservation,Compost,291.19,4.24,1234.65,227.8,4421,2025-06-26,2025-10-31
Corn,East,Clay,Organic,Potassium-based,287.35,1.6,459.76,446.7,3085,2025-04-04,2025-09-20
Soybeans,West,Sandy,Mixed,Phosphorus-based,440.24,8.31,3658.39,659.6,659,2025-03-28,2025-08-16
Wheat,South,Sandy,Organic,Potassium-based,283.36,6.87,1946.68,828.5,813,2025-06-11,2025-09-23
Barley,East,Peat,Conservation,Potassium-based,480.3,6.18,2968.25,757.3,4693,2025-06-10,2025-10-23
Wheat,East,Loam,Mixed,None,33.86,11.65,394.47,942.6,4088,2025-03-09,2025-06-29
Wheat,Midwest,Sandy,Conservation,None,58.02,7.5,435.15,479.8,356,2025-05-15,2025-08-24
Soybeans,Midwest,Loam,Conservation,None,31.59,10.57,333.91,765.0,676,2025-03-15,2025-07-26
Barley,North,Silt,Organic,Phosphorus-based,100.79,2.96,298.34,288.1,137,2025-03-21,2025-07-03
Barley,West,Loam,Mixed,Potassium-based,275.22,7.48,2058.65,613.7,2172,2025-04-21,2025-09-06
Rice,North,Silt,Conservation,Nitrogen-based,326.33,10.61,3462.36,950.2,4605,2025-04-04,2025-07-23
Wheat,Midwest,Clay,Mixed,Compost,32.34,7.62,246.43,893.4,560,2025-06-14,2025-09-26
Wheat,South,Clay,Organic,None,473.53,9.04,4280.71,1190.6,1540,2025-06-05,2025-09-16
Corn,Midwest,Peat,Conservation,None,422.66,5.41,2286.59,477.9,4578,2025-04-20,2025-08-29
Rice,West,Sandy,Organic,Potassium-based,155.34,2.47,383.69,698.2,1932,2025-05-22,2025-11-07
Corn,Midwest,Peat,Mixed,Potassium-based,47.82,6.31,301.74,529.5,4764,2025-04-24,2025-08-06
Corn,West,Silt,Mixed,Phosphorus-based,93.24,5.64,525.87,640.6,3499,2025-05-26,2025-10-25
Corn,West,Peat,Organic,Phosphorus-based,72.2,10.6,765.32,1057.0,532,2025-05-16,2025-10-20
Soybeans,West,Loam,Conventional,None,70.41,4.06,285.86,884.2,4251,2025-04-13,2025-08-07
Soybeans,West,Silt,Conservation,Potassium-based,264.1,11.65,3076.77,1082.4,1851,2025-05-04,2025-10-27
Corn,West,Clay,Mixed,Nitrogen-based,130.47,11.56,1508.23,403.5,2147,2025-06-23,2025-11-12
Rice,South,Sandy,Mixed,Compost,185.49,4.1,760.51,1073.4,2940,2025-06-01,2025-10-20
Wheat,North,Silt,Conservation,Potassium-based,494.86,5.15,2548.53,259.8,356,2025-05-27,2025-10-26
Rice,East,Silt,Organic,Potassium-based,345.31,10.9,3763.88,1088.6,771,2025-05-19,2025-10-28
Barley,North,Loam,Organic,Phosphorus-based,475.0,11.65,5533.75,529.1,589,2025-03-25,2025-08-14
Soybeans,West,Sandy,Organic,Compost,79.85,6.16,491.88,514.6,3814,2025-06-27,2025-11-20
Wheat,South,Clay,Conventional,None,197.25,4.87,960.61,712.1,2196,2025-05-26,2025-10-14
Wheat,Midwest,Silt,Conventional,Potassium-based,281.82,7.02,1978.38,1140.7,1782,2025-05-31,2025-10-10
Barley,South,Silt,Mixed,None,47.61,8.72,415.16,247.8,4511,2025-04-16,2025-07-21
Barley,West,Loam,Organic,Potassium-based,12.05,4.37,52.66,552.2,2560,2025-05-19,2025-09-27
Corn,South,Peat,Conservation,None,338.51,9.23,3124.45,1056.6,4629,2025-06-15,2025-09-16
Soybeans,South,Clay,Mixed,Compost,324.49,2.04,661.96,596.1,4012,2025-04-25,2025-09-30
Soybeans,West,Sandy,Conservation,Phosphorus-based,211.29,2.02,426.81,399.2,2075,2025-04-07,2025-07-10
Rice,South,Silt,Mixed,Compost,249.93,5.56,1389.61,624.8,3316,2025-03-11,2025-08-22
Corn,East,Silt,Conventional,Nitrogen-based,213.57,5.21,1112.7,585.6,1489,2025-05-06,2025-10-22
Corn,East,Clay,Mixed,Phosphorus-based,21.76,4.81,104.67,1115.4,4615,2025-03-15,2025-07-23
Corn,South,Peat,Conventional,Compost,174.33,6.66,1161.04,961.9,3956,2025-03-01,2025-06-02
Corn,Midwest,Silt,Mixed,Nitrogen-based,96.77,4.87,471.27,705.1,1684,2025-03-07,2025-06-06
Soybeans,West,Clay,Organic,Potassium-based,58.23,3.52,204.97,1188.4,3063,2025-03-01,2025-08-04
Soybeans,East,Loam,Conservation,Potassium-based,478.79,4.75,2274.25,665.3,4629,2025-04-18,2025-08-06
Corn,Midwest,Peat,Organic,None,303.69,11.74,3565.32,258.2,1076,2025-06-04,2025-11-10
Rice,South,Sandy,Mixed,Phosphorus-based,367.04,5.82,2136.17,462.3,3464,2025-05-12,2025-09-21
Wheat,Midwest,Silt,Mixed,Potassium-based,164.53,6.17,1015.15,636.1,145,2025-03-29,2025-09-16
Wheat,North,Clay,Mixed,Phosphorus-based,202.64,7.55,1529.93,356.9,1293,2025-03-26,2025-08-31
Rice,East,Loam,Conventional,Potassium-based,126.09,11.83,1491.64,1147.6,3442,2025-05-26,2025-09-01
Corn,South,Sandy,Conservation,None,57.51,4.04,232.34,966.8,4612,2025-04-14,2025-10-04
Soybeans,West,Clay,Conservation,Compost,97.73,8.65,845.36,468.3,346,2025-06-15,2025-10-10
Wheat,South,Clay,Mixed,None,400.78,9.02,3615.04,790.8,3319,2025-06-01,2025-09-24
Barley,West,Sandy,Mixed,Nitrogen-based,342.0,7.88,2694.96,921.4,4425,2025-06-24,2025-12-12
Barley,South,Loam,Conventional,Potassium-based,278.0,2.43,675.54,1141.3,891,2025-06-10,2025-11-29
Rice,Midwest,Loam,Organic,Nitrogen-based,242.79,8.61,2090.42,1081.6,736,2025-06-05,2025-09-05
Corn,Midwest,Peat,Organic,Nitrogen-based,461.99,2.17,1002.52,715.2,3875,2025-05-10,2025-10-19
Wheat,Midwest,Silt,Conservation,Phosphorus-based,45.64,7.76,354.17,974.7,2521,2025-03-12,2025-07-28
Corn,North,Sandy,Conventional,Potassium-based,147.49,9.27,1367.23,762.1,4933,2025-06-03,2025-09-17
Wheat,West,Sandy,Mixed,Nitrogen-based,181.47,3.72,675.07,752.7,1188,2025-04-01,2025-08-31
Rice,Midwest,Sandy,Conservation,Compost,393.39,10.34,4067.65,314.7,4283,2025-06-26,2025-11-17
Rice,North,Loam,Conventional,Nitrogen-based,496.33,1.82,903.32,326.1,3259,2025-03-20,2025-07-10
Barley,West,Silt,Organic,Compost,127.93,10.36,1325.35,729.5,812,2025-06-27,2025-10-28
Corn,South,Peat,Conventional,Phosphorus-based,438.41,6.33,2775.14,468.9,4796,2025-04-20,2025-09-25
