Shipment_Status,Transport_Mode,Package_Type,Delivery_Region,Payment_Status,Shipment_ID,Package_Weight_kg,Shipping_Cost,Delivery_Distance_km,Quantity,Order_Date,Delivery_Date
Out for Delivery,Ship,Envelope,Local,Paid,9263,84.5,820.46,2570,139,11/22/2021,7/7/2022
Delayed,Train,Envelope,Local,Overdue,9321,78.7,598.39,317,578,10/24/2020,7/21/2021
In Transit,Airplane,Envelope,National,Pending,9906,50.5,530.29,2097,751,4/25/2021,4/24/2020
Out for Delivery,Truck,Box,Local,Paid,3132,68.9,635.98,3778,601,12/21/2022,2/7/2022
Delayed,Airplane,Box,International,Overdue,6721,26.9,940.28,302,966,7/30/2020,8/19/2021
In Transit,Ship,Crate,Local,Paid,3058,99.6,267.19,3852,204,11/22/2020,9/22/2021
Delayed,Truck,Box,Local,Paid,1606,9.9,753.17,282,285,3/16/2022,5/14/2020
Delivered,Airplane,Envelope,Local,Overdue,2668,92.6,965.79,3101,694,11/30/2022,6/10/2022
Delivered,Ship,Box,Local,Pending,2994,95.2,546.77,534,662,6/3/2022,3/20/2022
Delayed,Truck,Box,National,Paid,5887,19.9,546.86,530,815,2/9/2020,4/18/2022
In Transit,Train,Crate,National,Pending,7940,99.5,269.3,2836,126,10/21/2020,12/9/2020
Delayed,Train,Pallet,Local,Paid,5239,89.0,246.64,4967,736,10/22/2022,11/4/2020
Delivered,Airplane,Box,Local,Overdue,1873,7.6,914.43,3273,265,5/25/2021,5/22/2021
Out for Delivery,Train,Box,International,Pending,7639,10.1,868.05,1466,554,8/4/2020,10/9/2020
Delayed,Truck,Crate,International,Paid,8006,90.1,390.04,4867,965,5/23/2020,7/27/2022
Delivered,Ship,Box,International,Paid,8389,58.3,547.15,3045,761,7/15/2020,9/19/2021
Delayed,Train,Envelope,National,Overdue,7736,84.0,990.26,1573,592,6/16/2020,7/31/2022
In Transit,Ship,Box,Local,Paid,8128,0.2,497.52,3666,388,12/4/2022,4/12/2022
In Transit,Train,Crate,International,Pending,2482,60.1,863.9,3871,834,5/27/2022,5/2/2020
Out for Delivery,Ship,Pallet,Local,Overdue,4995,78.9,106.33,3200,998,12/6/2020,4/11/2020
Out for Delivery,Train,Crate,Local,Paid,6996,84.7,200.12,1869,329,6/25/2022,10/17/2021
Out for Delivery,Ship,Envelope,International,Overdue,3452,36.7,699.57,2677,614,5/5/2021,6/10/2022
Out for Delivery,Truck,Envelope,International,Overdue,3220,87.4,204.08,2256,298,9/10/2022,9/11/2020
In Transit,Train,Crate,Local,Pending,2519,17.9,110.06,1106,417,7/12/2020,6/15/2020
Delayed,Truck,Pallet,Local,Overdue,3144,57.7,214.17,3788,163,2/5/2021,9/1/2020
Out for Delivery,Airplane,Crate,International,Pending,4297,29.8,25.36,2659,152,12/9/2020,3/13/2020
In Transit,Airplane,Envelope,International,Paid,1623,10.0,510.35,2329,121,4/14/2022,12/29/2022
Out for Delivery,Ship,Envelope,National,Pending,1507,7.5,548.07,4087,995,10/10/2020,9/2/2022
Delayed,Airplane,Pallet,Local,Pending,7886,6.0,666.51,3951,578,3/24/2022,7/12/2022
Delayed,Ship,Box,National,Paid,9212,99.0,825.35,3521,656,9/9/2022,5/9/2022
In Transit,Airplane,Crate,Local,Paid,8461,32.1,896.62,3195,759,1/12/2020,3/10/2021
Out for Delivery,Ship,Box,Local,Pending,9554,0.2,857.97,3899,211,5/26/2021,5/2/2021
Delivered,Train,Pallet,International,Paid,5635,1.8,187.76,4071,854,7/26/2020,8/4/2020
Delayed,Train,Crate,National,Paid,8644,76.8,359.75,2745,614,1/30/2022,3/14/2020
Out for Delivery,Train,Envelope,National,Pending,5097,43.3,294.85,4762,645,4/30/2022,5/10/2021
In Transit,Ship,Box,International,Overdue,6793,49.5,865.34,1477,4,5/3/2021,4/12/2022
In Transit,Ship,Pallet,National,Pending,8749,33.4,98.96,1211,935,1/10/2020,12/14/2020
In Transit,Ship,Pallet,Local,Pending,2561,67.3,404.4,2513,367,5/20/2020,3/26/2022
Delayed,Airplane,Crate,National,Pending,3455,83.1,698.58,3421,559,4/16/2020,5/1/2021
In Transit,Airplane,Pallet,National,Pending,4073,51.0,427.6,1294,957,3/28/2022,5/21/2022
Delayed,Ship,Envelope,International,Pending,8835,73.8,151.94,1549,663,6/26/2022,11/13/2022
Out for Delivery,Airplane,Crate,National,Overdue,9821,61.9,688.67,4470,742,12/8/2022,7/7/2021
Delivered,Truck,Crate,International,Overdue,6803,2.9,735.84,2437,365,6/22/2021,6/13/2021
Out for Delivery,Truck,Pallet,International,Pending,7533,71.2,500.52,3274,95,5/11/2020,2/17/2020
In Transit,Ship,Envelope,Local,Overdue,7912,4.6,434.07,2873,803,12/25/2021,8/16/2021
Delivered,Ship,Pallet,National,Overdue,7627,2.0,640.62,3063,533,2/9/2021,7/15/2022
Delivered,Airplane,Box,National,Pending,6502,33.5,631.83,4867,435,9/8/2020,7/16/2021
Delivered,Truck,Box,International,Overdue,4912,72.5,278.21,4389,32,12/25/2022,6/22/2020
Out for Delivery,Airplane,Crate,National,Pending,2967,97.2,952.92,4835,794,8/10/2022,3/27/2021
Delivered,Train,Envelope,Local,Pending,3452,37.5,941.14,1663,10,6/26/2020,9/3/2022
In Transit,Truck,Envelope,National,Overdue,4923,89.4,693.69,2207,632,5/28/2021,2/22/2022
Delivered,Airplane,Crate,International,Pending,4473,36.1,646.66,1791,119,10/9/2021,5/24/2022
Delivered,Truck,Pallet,International,Paid,3992,41.2,82.7,1956,188,7/12/2020,10/15/2021
Delayed,Airplane,Envelope,Local,Pending,7466,84.4,653.16,2819,622,2/28/2020,4/26/2020
Delayed,Ship,Pallet,National,Paid,3690,74.9,512.43,3218,520,9/26/2020,9/19/2021
Delivered,Train,Pallet,National,Paid,1891,42.1,898.97,3841,169,7/14/2021,11/1/2021
Out for Delivery,Airplane,Pallet,International,Overdue,3677,63.4,434.75,3440,459,6/24/2022,4/7/2022
Out for Delivery,Airplane,Pallet,International,Overdue,8549,44.3,153.12,3421,425,4/15/2020,1/29/2022
Out for Delivery,Truck,Envelope,National,Pending,5056,2.9,353.33,195,105,3/28/2021,10/3/2022
Delayed,Airplane,Crate,International,Overdue,4548,67.2,706.83,2194,224,12/23/2020,6/15/2020
Delivered,Truck,Box,International,Paid,1161,65.7,525.46,4206,957,4/2/2022,4/22/2021
Delivered,Ship,Crate,National,Overdue,8722,8.0,151.52,4803,36,5/16/2022,1/25/2022
Out for Delivery,Truck,Envelope,Local,Overdue,7806,91.9,556.88,3322,780,5/29/2022,11/15/2021
Out for Delivery,Airplane,Pallet,Local,Overdue,3416,85.6,510.26,3252,12,8/16/2021,2/21/2020
In Transit,Truck,Crate,International,Pending,1340,37.9,81.2,2278,496,5/7/2022,3/7/2022
Delivered,Truck,Pallet,Local,Overdue,4811,42.3,79.06,4819,590,6/2/2020,12/18/2021
Delayed,Ship,Crate,National,Paid,6106,45.4,819.98,4773,795,2/6/2022,3/5/2021
Delivered,Airplane,Pallet,Local,Paid,2976,62.7,750.71,984,316,5/27/2020,8/8/2021
Delayed,Airplane,Box,International,Paid,5400,34.7,566.68,2037,486,8/18/2020,4/13/2022
In Transit,Train,Crate,Local,Paid,4521,38.9,626.88,1312,135,7/28/2021,6/7/2021
In Transit,Airplane,Envelope,Local,Pending,8975,27.3,415.52,4376,501,4/22/2021,5/23/2022
Delayed,Train,Envelope,International,Overdue,8853,51.2,273.7,4723,906,7/11/2022,12/25/2022
Delayed,Truck,Crate,National,Paid,3353,51.2,552.12,3509,519,2/14/2021,3/7/2020
Delayed,Train,Envelope,International,Overdue,5187,33.6,461.31,1589,140,8/15/2022,4/30/2020
Delivered,Truck,Pallet,International,Paid,3629,86.5,796.11,1354,71,4/6/2020,8/21/2021
Out for Delivery,Ship,Crate,Local,Paid,2333,8.8,261.6,3063,810,8/14/2022,10/23/2022
Out for Delivery,Train,Envelope,International,Pending,8288,22.2,858.08,2629,659,7/5/2022,4/19/2020
Delayed,Truck,Pallet,International,Pending,1957,42.7,291.06,4383,869,10/8/2020,3/3/2021
Out for Delivery,Truck,Envelope,National,Paid,6564,92.4,116.65,4427,234,3/19/2022,6/19/2020
Delivered,Airplane,Envelope,International,Paid,5555,94.2,25.26,4773,588,10/30/2021,8/15/2020
Out for Delivery,Train,Box,National,Pending,5310,1.4,116.36,2560,909,10/24/2021,3/11/2020
Delivered,Train,Box,Local,Paid,1760,58.5,494.5,498,526,1/26/2021,10/25/2022
Out for Delivery,Ship,Box,International,Pending,6789,72.7,429.1,2685,578,7/15/2022,2/2/2021
Delayed,Airplane,Pallet,International,Overdue,6278,94.1,510.75,3338,345,10/27/2021,6/23/2022
Out for Delivery,Ship,Box,International,Pending,7886,93.3,261.39,300,706,2/18/2021,2/28/2022
Out for Delivery,Train,Box,National,Paid,9883,16.9,263.21,1611,617,2/28/2021,1/6/2021
In Transit,Train,Box,Local,Paid,9856,56.7,867.15,24,884,8/4/2022,12/31/2021
Out for Delivery,Train,Crate,International,Overdue,6588,51.1,176.91,2751,739,1/24/2020,4/28/2022
In Transit,Truck,Envelope,National,Pending,8580,31.0,605.17,1706,163,5/25/2021,2/9/2020
Out for Delivery,Ship,Pallet,National,Overdue,4277,93.5,957.78,2309,145,8/4/2020,6/27/2020
Delayed,Truck,Box,International,Paid,6429,49.0,995.48,2483,514,3/27/2022,2/3/2020
Delayed,Ship,Envelope,Local,Paid,1070,5.5,543.75,3362,377,12/21/2020,8/28/2022
Out for Delivery,Truck,Envelope,International,Paid,2845,53.9,88.78,1537,136,6/3/2020,12/20/2022
Delivered,Truck,Pallet,Local,Paid,2749,68.5,650.02,3452,165,7/21/2022,11/10/2020
Out for Delivery,Train,Envelope,International,Paid,8834,45.8,553.76,2782,459,5/28/2022,12/28/2020
Delivered,Airplane,Box,National,Overdue,7513,27.4,331.58,3137,613,7/1/2020,8/21/2020
Delayed,Ship,Pallet,National,Overdue,7329,10.0,585.41,1516,870,8/26/2021,1/5/2021
In Transit,Airplane,Pallet,National,Pending,4553,16.1,899.2,1430,66,7/21/2022,11/30/2022
In Transit,Truck,Envelope,Local,Paid,3693,96.1,157.86,818,963,10/13/2020,11/30/2021
In Transit,Train,Envelope,International,Pending,8640,72.8,982.65,4925,296,12/4/2020,8/17/2021
Out for Delivery,Train,Box,International,Pending,9371,97.9,808.44,4115,432,4/23/2021,10/30/2020
In Transit,Airplane,Pallet,International,Paid,8769,73.7,98.1,3194,651,2/7/2020,7/8/2022
Delivered,Airplane,Pallet,International,Overdue,5922,81.6,577.1,1349,825,9/28/2022,10/2/2022
In Transit,Ship,Envelope,National,Pending,6514,6.6,340.99,429,497,10/23/2022,4/8/2021
Delivered,Train,Box,National,Overdue,8372,20.5,490.33,3054,646,12/8/2020,2/8/2021
Out for Delivery,Train,Box,Local,Pending,2536,12.6,3.35,3240,592,12/5/2022,5/10/2021
Delayed,Ship,Pallet,Local,Pending,4219,52.6,152.81,3758,788,5/24/2021,1/22/2020
Out for Delivery,Ship,Pallet,Local,Pending,1932,74.4,907.02,249,23,4/15/2022,3/14/2022
Out for Delivery,Truck,Pallet,Local,Overdue,5772,21.5,502.3,3434,59,12/27/2021,3/5/2021
In Transit,Ship,Envelope,National,Pending,5254,68.5,275.96,3192,24,9/3/2020,6/9/2021
Delivered,Ship,Crate,Local,Overdue,5221,21.3,934.25,241,711,9/22/2021,7/11/2020
Delayed,Airplane,Envelope,National,Pending,8620,20.6,319.08,1132,335,5/11/2020,5/6/2021
Delivered,Ship,Crate,Local,Paid,9692,50.0,666.78,282,603,3/30/2020,9/11/2020
Out for Delivery,Train,Box,International,Overdue,1842,86.0,947.69,4899,212,12/20/2020,11/21/2020
In Transit,Airplane,Box,Local,Paid,2740,99.2,197.89,4759,641,7/5/2022,11/21/2021
Out for Delivery,Truck,Crate,National,Pending,3219,51.7,685.33,1441,205,8/13/2021,6/5/2020
In Transit,Airplane,Box,Local,Pending,1954,60.1,102.78,2163,181,9/20/2021,12/28/2022
Out for Delivery,Truck,Crate,International,Pending,3818,73.6,657.64,4673,278,2/11/2022,1/17/2020
In Transit,Ship,Pallet,Local,Pending,3857,37.8,332.97,3546,286,4/17/2022,8/22/2022
In Transit,Truck,Pallet,National,Overdue,8655,39.2,165.75,4438,772,11/25/2022,2/21/2021
Out for Delivery,Truck,Envelope,International,Paid,4114,54.7,424.62,3423,866,10/9/2020,1/21/2021
Delivered,Train,Pallet,Local,Paid,3585,31.3,423.81,2584,305,9/18/2021,12/23/2021
Delivered,Ship,Pallet,National,Pending,9698,65.4,235.87,2813,554,7/19/2022,6/6/2021
In Transit,Ship,Envelope,Local,Pending,5988,96.0,640.57,2252,375,10/18/2022,4/22/2021
In Transit,Truck,Crate,International,Paid,8650,64.8,425.54,4200,741,3/30/2021,6/15/2020
Delivered,Train,Envelope,National,Overdue,2461,71.0,192.64,1110,417,4/29/2021,8/12/2021
In Transit,Airplane,Envelope,National,Pending,6361,12.9,191.58,4369,40,8/14/2022,3/22/2020
Delayed,Truck,Box,National,Pending,5503,95.0,191.4,4715,862,5/2/2020,12/22/2020
Out for Delivery,Train,Crate,National,Pending,5470,17.0,264.31,4630,828,1/15/2020,6/15/2022
Delayed,Train,Pallet,International,Pending,8361,26.3,440.68,1854,5,5/2/2020,1/31/2020
Delayed,Truck,Envelope,Local,Overdue,7818,94.3,10.95,509,69,9/15/2021,3/24/2022
Delayed,Ship,Crate,International,Overdue,8281,11.9,133.37,4791,486,5/31/2022,5/21/2021
Out for Delivery,Ship,Envelope,Local,Paid,6114,7.0,137.88,1670,172,9/17/2022,10/2/2020
Delivered,Truck,Crate,Local,Overdue,8771,50.6,36.86,4358,309,12/2/2022,12/23/2022
In Transit,Train,Pallet,International,Pending,4704,36.7,191.56,1524,607,8/23/2020,2/5/2022
Out for Delivery,Truck,Pallet,International,Overdue,2494,36.8,313.09,2634,560,12/7/2022,10/24/2020
Delayed,Train,Crate,National,Pending,9542,65.0,736.91,4621,318,4/9/2021,7/21/2022
Delayed,Truck,Envelope,Local,Overdue,5716,48.3,484.21,2333,95,2/13/2022,10/20/2020
Delayed,Airplane,Box,International,Overdue,7962,74.9,15.7,3957,126,12/23/2021,7/1/2022
Out for Delivery,Truck,Envelope,Local,Overdue,7295,26.8,539.28,1462,929,10/21/2021,1/20/2021
In Transit,Ship,Envelope,National,Paid,5552,77.1,338.92,3162,179,8/3/2022,3/5/2021
Out for Delivery,Train,Pallet,International,Paid,4413,9.7,140.03,2017,216,3/21/2021,2/20/2020
Delayed,Ship,Crate,International,Paid,5179,77.8,86.33,4939,433,11/8/2021,1/28/2021
Delayed,Truck,Pallet,National,Overdue,9938,95.1,23.77,133,7,10/27/2022,4/26/2022
In Transit,Truck,Pallet,Local,Pending,4504,13.5,935.26,4197,212,3/24/2020,2/4/2022
Delivered,Ship,Box,Local,Overdue,6852,67.3,972.8,4884,138,4/5/2021,9/14/2021
Out for Delivery,Ship,Envelope,Local,Paid,5601,74.1,444.74,1860,82,1/18/2021,3/10/2020
Out for Delivery,Truck,Pallet,International,Overdue,3173,69.7,95.43,3402,651,5/11/2021,1/16/2020
Delivered,Airplane,Crate,National,Overdue,4997,1.8,230.47,1734,644,3/30/2022,8/3/2022
Out for Delivery,Train,Box,Local,Paid,4532,99.1,586.5,2518,648,10/1/2020,12/11/2020
Out for Delivery,Truck,Pallet,International,Overdue,2617,22.7,701.87,4422,49,11/2/2022,6/14/2022
Delayed,Train,Crate,Local,Paid,3235,11.2,424.67,4506,394,6/27/2020,2/27/2021
In Transit,Airplane,Envelope,International,Pending,1543,29.0,166.59,2190,356,3/6/2020,8/25/2021
Out for Delivery,Ship,Pallet,International,Paid,7582,80.4,863.48,87,810,9/9/2022,3/9/2022
Out for Delivery,Train,Envelope,Local,Overdue,1967,43.3,873.51,1222,373,8/19/2022,8/12/2022
In Transit,Airplane,Pallet,Local,Overdue,5020,82.9,891.01,4792,187,10/29/2020,6/18/2021
Delayed,Ship,Envelope,International,Pending,1238,46.1,251.67,655,594,3/11/2022,5/8/2022
In Transit,Truck,Box,International,Pending,7853,63.1,963.91,1266,296,2/3/2020,1/27/2021
Delayed,Truck,Pallet,National,Paid,4960,57.9,287.69,2915,210,3/5/2020,9/11/2022
Delivered,Truck,Envelope,Local,Paid,6637,42.4,601.97,2074,262,3/29/2021,2/16/2021
Delayed,Ship,Pallet,National,Overdue,5825,80.5,562.08,2411,289,6/18/2022,3/27/2021
Delayed,Ship,Envelope,International,Paid,8721,12.3,61.13,502,696,3/14/2022,8/8/2022
Delayed,Train,Envelope,Local,Overdue,3949,21.6,8.31,3602,487,9/9/2022,6/1/2021
Delayed,Truck,Pallet,Local,Pending,8477,44.6,926.9,4396,21,6/10/2020,5/19/2022
Delayed,Truck,Pallet,Local,Paid,7966,95.3,377.07,4274,78,9/13/2022,1/19/2021
Delivered,Train,Box,International,Paid,7957,93.3,229.62,1499,255,5/20/2022,11/27/2022
Out for Delivery,Truck,Envelope,International,Paid,2886,86.1,133.96,1274,563,12/9/2022,7/11/2021
Delivered,Airplane,Envelope,National,Paid,8832,47.9,64.35,3223,273,1/16/2020,1/25/2021
Delivered,Truck,Crate,National,Paid,3744,86.3,440.59,4488,521,5/18/2020,9/9/2020
Delayed,Train,Crate,Local,Pending,2865,94.6,104.78,2293,420,2/3/2022,8/10/2022
In Transit,Airplane,Envelope,International,Overdue,2252,5.5,440.71,122,178,9/26/2020,10/12/2020
Out for Delivery,Ship,Box,National,Pending,4862,20.1,137.49,3237,494,10/12/2021,5/19/2020
Delivered,Truck,Pallet,National,Pending,3167,75.2,309.4,4173,478,5/3/2021,5/30/2021
Delivered,Ship,Envelope,International,Overdue,7903,73.4,343.08,1996,698,12/3/2021,11/15/2021
Delivered,Truck,Crate,Local,Overdue,1621,90.9,561.97,3198,619,1/7/2020,5/31/2021
Out for Delivery,Airplane,Pallet,Local,Paid,9289,23.4,667.81,1377,331,12/18/2021,7/21/2022
In Transit,Train,Box,Local,Pending,7920,75.2,169.39,1910,383,7/4/2022,4/8/2021
Out for Delivery,Airplane,Pallet,International,Pending,3042,65.3,537.2,806,209,7/3/2022,6/9/2020
Out for Delivery,Train,Pallet,National,Paid,2061,21.8,67.12,4846,453,7/27/2022,8/3/2022
Delayed,Airplane,Envelope,Local,Pending,2062,28.2,288.59,3663,451,8/11/2020,9/22/2021
Delivered,Train,Box,National,Overdue,4295,78.8,834.9,4048,199,1/12/2022,3/8/2021
Delayed,Ship,Pallet,National,Pending,8646,72.7,355.37,1637,789,10/19/2020,10/13/2021
Delivered,Train,Envelope,International,Pending,8654,45.5,451.1,289,105,3/13/2021,11/13/2021
Delayed,Truck,Pallet,International,Paid,8580,99.5,775.8,11,804,9/22/2022,3/19/2021
Delivered,Airplane,Envelope,International,Pending,8945,42.8,778.01,1195,421,4/24/2022,11/25/2022
In Transit,Airplane,Crate,National,Pending,7406,5.9,994.57,4029,767,10/2/2020,10/7/2021
In Transit,Airplane,Envelope,International,Pending,7906,99.4,755.37,2961,824,3/10/2020,5/26/2021
Delayed,Truck,Pallet,Local,Paid,4178,13.3,807.14,880,226,11/19/2020,8/15/2020
Out for Delivery,Truck,Envelope,National,Overdue,7848,34.7,300.43,2948,314,4/4/2022,11/10/2021
In Transit,Airplane,Envelope,National,Overdue,4623,59.3,666.47,1903,130,10/29/2022,6/1/2020
Out for Delivery,Truck,Box,National,Pending,3459,65.3,503.53,2111,59,11/28/2021,8/11/2021
In Transit,Train,Envelope,International,Paid,6988,61.0,50.1,4819,664,2/18/2021,10/7/2021
Delayed,Ship,Box,National,Overdue,2411,51.3,709.09,2820,448,12/6/2022,1/29/2021
Delivered,Truck,Box,Local,Pending,9685,70.0,774.02,2937,863,1/12/2020,5/9/2020
Delayed,Truck,Pallet,Local,Pending,4521,44.0,973.6,2478,89,4/23/2022,1/22/2022
In Transit,Train,Envelope,Local,Paid,1300,22.5,493.57,3561,64,7/18/2022,8/7/2022
Out for Delivery,Train,Envelope,Local,Overdue,6091,6.5,694.76,2391,175,4/17/2022,6/11/2021
Out for Delivery,Truck,Crate,International,Paid,1581,68.9,184.7,4686,626,8/17/2022,12/11/2022
Delayed,Airplane,Envelope,National,Pending,1756,91.7,843.04,4756,375,3/5/2022,5/23/2022
In Transit,Airplane,Pallet,Local,Paid,9192,32.5,352.35,949,251,4/30/2022,1/9/2020
Delayed,Ship,Envelope,International,Overdue,4235,59.6,935.9,4357,204,8/21/2021,1/31/2022
Delayed,Truck,Pallet,International,Overdue,2927,58.1,653.65,4331,464,6/17/2022,8/6/2022
In Transit,Ship,Envelope,Local,Overdue,3367,14.8,573.05,1021,828,12/18/2020,5/12/2020
Delivered,Train,Crate,Local,Overdue,3704,2.6,403.74,558,447,7/25/2022,7/8/2021
Out for Delivery,Airplane,Box,Local,Pending,4776,15.2,994.2,3581,309,5/16/2021,5/22/2021
Delivered,Ship,Crate,National,Paid,5457,60.7,75.77,135,830,6/20/2020,11/9/2021
Delayed,Truck,Box,National,Pending,5616,94.4,532.43,2161,93,5/6/2022,12/6/2022
In Transit,Ship,Crate,International,Pending,4422,2.7,480.22,1959,310,6/25/2020,10/16/2022
Delayed,Airplane,Crate,International,Overdue,9064,15.5,439.36,4999,515,12/17/2022,11/18/2022
Out for Delivery,Ship,Envelope,International,Paid,5298,20.2,246.64,4265,219,11/21/2020,6/25/2021
Out for Delivery,Airplane,Box,International,Pending,9193,55.2,983.21,2031,649,11/3/2020,8/29/2021
Out for Delivery,Train,Box,National,Pending,9095,15.5,252.68,2547,70,6/22/2020,9/7/2022
Out for Delivery,Airplane,Pallet,International,Paid,1556,33.0,172.04,4879,378,10/17/2020,10/9/2021
Delayed,Airplane,Box,Local,Paid,2637,23.6,403.62,60,784,2/5/2020,8/28/2022
Out for Delivery,Train,Crate,International,Paid,5659,10.6,39.75,1393,132,7/28/2020,10/16/2021
Out for Delivery,Train,Envelope,International,Paid,7696,68.5,514.23,259,743,12/24/2022,10/16/2022
Out for Delivery,Truck,Crate,International,Pending,8725,24.6,344.26,4188,461,8/22/2021,7/10/2021
Delayed,Train,Envelope,Local,Pending,7650,59.7,620.04,4751,867,5/9/2021,12/19/2020
Delayed,Truck,Envelope,Local,Paid,4730,75.1,130.85,2733,395,8/24/2021,5/17/2022
Delayed,Ship,Box,International,Pending,6828,96.8,228.42,2965,998,2/27/2020,8/17/2022
Out for Delivery,Train,Pallet,National,Overdue,5072,25.5,6.39,1310,807,2/8/2022,6/18/2021
Out for Delivery,Train,Pallet,National,Overdue,1271,4.1,700.75,2077,484,8/27/2021,5/1/2022
Delayed,Train,Pallet,Local,Pending,2647,16.6,589.58,1417,393,4/2/2021,1/25/2022
Delayed,Ship,Envelope,International,Paid,4300,65.3,662.86,2165,665,3/13/2020,6/9/2022
Out for Delivery,Ship,Envelope,International,Paid,5366,21.4,133.35,1052,636,8/3/2021,8/27/2022
Delivered,Ship,Box,Local,Paid,6461,79.0,470.35,264,323,5/2/2020,9/3/2021
Delayed,Ship,Pallet,National,Overdue,1792,23.4,474.08,3150,872,4/15/2020,2/22/2022
In Transit,Ship,Pallet,International,Paid,8715,87.8,808.7,4306,865,2/25/2022,1/25/2020
Out for Delivery,Truck,Envelope,National,Paid,9465,32.4,754.57,1166,489,5/11/2020,5/20/2022
Delivered,Truck,Box,Local,Overdue,5111,20.2,227.82,408,202,4/8/2022,8/7/2020
Out for Delivery,Airplane,Envelope,National,Pending,2970,77.1,914.38,2303,294,10/26/2022,11/12/2022
Delivered,Ship,Box,Local,Pending,8935,88.7,976.91,3942,787,10/2/2020,6/10/2022
Delivered,Ship,Pallet,Local,Paid,7573,68.1,984.54,3755,837,9/4/2020,1/22/2021
Delivered,Train,Crate,International,Paid,6493,0.7,865.2,2995,50,9/29/2021,10/17/2022
Delivered,Truck,Crate,National,Pending,8590,10.4,280.34,315,310,8/12/2022,8/3/2021
Delivered,Airplane,Box,International,Paid,7882,49.5,101.4,2778,999,7/22/2020,7/5/2022
Delayed,Ship,Crate,Local,Pending,1445,9.3,417.47,1379,971,1/19/2021,8/29/2020
Delayed,Train,Box,International,Overdue,9073,52.4,273.13,3579,264,12/23/2022,8/20/2022
Delayed,Ship,Crate,International,Paid,4818,99.7,221.19,1853,253,11/5/2022,12/25/2021
Out for Delivery,Train,Box,Local,Overdue,5501,23.7,859.5,451,233,5/18/2020,5/24/2022
Delivered,Train,Box,Local,Paid,6091,58.4,284.37,563,112,11/15/2020,8/18/2020
Delivered,Ship,Box,National,Pending,2543,73.7,770.16,3955,149,1/28/2022,5/29/2021
In Transit,Airplane,Box,International,Overdue,5097,0.4,859.93,2212,573,6/29/2022,3/3/2022
Delayed,Airplane,Pallet,National,Overdue,9153,3.5,840.34,4242,634,2/23/2020,8/7/2022
Out for Delivery,Airplane,Box,National,Paid,6514,34.9,7.94,380,485,7/8/2020,8/11/2022
In Transit,Truck,Box,National,Pending,3665,63.5,609.67,49,928,9/2/2022,11/24/2021
Delivered,Ship,Envelope,International,Paid,3518,41.5,695.6,4168,81,4/3/2021,1/25/2021
Out for Delivery,Airplane,Envelope,International,Overdue,9857,64.8,130.38,2112,81,1/6/2022,6/9/2021
Delayed,Ship,Pallet,International,Overdue,7236,23.6,644.14,3347,358,12/25/2020,1/15/2022
In Transit,Ship,Crate,International,Pending,5723,18.4,343.47,1503,354,9/2/2022,2/10/2021
Delivered,Airplane,Envelope,Local,Pending,8764,45.9,833.15,2722,919,8/15/2020,10/3/2021
Delayed,Ship,Crate,Local,Pending,4716,78.1,363.59,4634,391,8/31/2022,12/13/2021
Delayed,Train,Pallet,International,Overdue,7019,61.6,960.48,4420,101,9/24/2020,9/19/2020
Delivered,Airplane,Pallet,National,Paid,2589,77.2,346.35,2220,580,10/21/2022,6/16/2022
Out for Delivery,Airplane,Crate,Local,Paid,8506,31.2,538.36,4262,991,12/17/2022,2/19/2021
Out for Delivery,Truck,Envelope,National,Paid,3311,74.1,444.37,3573,134,9/14/2021,9/29/2022
Delivered,Truck,Pallet,National,Pending,6905,71.9,141.16,3860,164,2/27/2020,10/4/2021
Delivered,Ship,Pallet,Local,Paid,9111,31.6,333.04,537,700,12/9/2020,2/9/2021
Delayed,Truck,Crate,International,Paid,8546,22.4,620.47,1902,571,3/13/2020,3/16/2020
Delivered,Truck,Pallet,Local,Paid,3684,68.3,367.78,2452,771,5/28/2020,8/11/2021
Out for Delivery,Ship,Envelope,International,Paid,8858,23.1,220.77,4707,256,5/27/2020,6/17/2021
Out for Delivery,Truck,Box,National,Pending,7152,37.5,298.91,2390,860,8/12/2022,2/21/2022
In Transit,Train,Box,National,Overdue,8587,32.7,906.43,4107,910,1/30/2022,4/12/2022
In Transit,Ship,Crate,International,Paid,8927,49.1,980.78,248,489,8/9/2021,4/14/2021
Delayed,Ship,Envelope,Local,Pending,5067,71.3,196.15,450,133,1/13/2022,10/16/2020
Out for Delivery,Airplane,Crate,International,Overdue,4423,47.7,671.83,4014,85,10/4/2020,3/6/2021
Delivered,Train,Envelope,Local,Paid,8213,83.3,451.83,1908,40,3/12/2020,6/17/2020
Delayed,Airplane,Crate,National,Overdue,9183,70.9,136.3,1986,827,3/29/2022,9/28/2021
Delayed,Train,Box,National,Paid,6359,80.8,986.85,1942,935,9/10/2022,4/2/2022
In Transit,Truck,Box,National,Paid,1022,18.0,137.13,2164,794,4/6/2022,9/22/2022
Out for Delivery,Train,Box,National,Paid,3744,85.8,915.57,2117,896,1/16/2021,1/10/2020
Delivered,Truck,Pallet,International,Pending,7465,41.5,696.62,3631,675,8/1/2020,12/29/2022
Delivered,Ship,Crate,National,Pending,4347,85.6,535.17,3684,49,6/27/2020,4/13/2020
Out for Delivery,Truck,Crate,International,Pending,2448,24.9,86.6,4226,137,11/8/2020,1/2/2022
